date,home_team,away_team,tournament,neutral,is_friendly,home_elo_before,away_elo_before,elo_diff,home_win_rate_5,home_win_rate_10,home_goals_scored_avg_5,home_goals_scored_avg_10,home_goals_conceded_avg_5,home_goals_conceded_avg_10,home_goal_diff_avg_5,home_goal_diff_avg_10,away_win_rate_5,away_win_rate_10,away_goals_scored_avg_5,away_goals_scored_avg_10,away_goals_conceded_avg_5,away_goals_conceded_avg_10,away_goal_diff_avg_5,away_goal_diff_avg_10,home_advantage,h2h_home_win_rate,h2h_avg_goal_diff,h2h_num_meetings,home_streak,away_streak,home_days_since_last,away_days_since_last,home_squad_value,away_squad_value,squad_value_diff,home_avg_age,away_avg_age,home_sentiment_avg,away_sentiment_avg,sentiment_diff,home_sentiment_volume,away_sentiment_volume,outcome
1990-02-11,Togo,Cameroon,Friendly,0,1,1500.0,1493.7178790241012,6.282120975898806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,-2.0,-2.0,0.0,0.0,0.0,0,0,-1,30.0,28.0,17.976087378016793,19.93833459770359,-1.9622472196867982,25.06,26.47,0.0,0.0,0.0,0,0,0
1990-02-12,United Arab Emirates,Finland,Friendly,0,1,1500.231336745357,1500.0,0.2313367453571118,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,7.0,30.0,18.243107965839517,19.90281621890616,-1.6597082530666434,25.34,25.6,0.2413,0.0,0.2413,1,0,0
1990-02-13,Bermuda,United States,Friendly,0,1,1500.0,1492.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,-1.0,-1.0,0.0,0.0,0.0,0,0,0,30.0,9.0,16.27450195637695,19.752355143986136,-3.4778531876091847,26.02,24.41,0.0,0.0,0.0,0,0,-1
1990-02-14,Egypt,Denmark,Friendly,0,1,1499.7643219043505,1500.0043413502924,-0.24001944594192537,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,-1,0,18.0,9.0,19.67274519997326,19.729990054247896,-0.05724485427463577,24.53,24.96,0.0,0.0,0.0,0,0,0
1990-02-14,United Arab Emirates,Sweden,Friendly,0,1,1500.2270753656562,1500.0,0.22707536565621922,0.25,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0,0,2.0,30.0,18.243107965839517,19.526339809001872,-1.2832318431623548,25.34,24.54,0.2413,0.3861,-0.1448,1,1,1
1990-02-15,Iraq,South Korea,Friendly,0,1,1500.0,1500.1884127287883,-0.1884127287883075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,1,30.0,5.0,18.26491078880618,19.573164869541316,-1.3082540807351357,25.59,23.7,0.0,0.0,0.0,0,0,0
1990-02-15,Kuwait,Finland,Friendly,0,1,1487.6685314145798,1500.004261379701,-12.335729965121118,0.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,3.0,16.36238719866352,19.90281621890616,-3.540429020242641,26.48,25.6,0.0,0.0,0.0,0,0,-1
1990-02-17,United Arab Emirates,Sweden,Friendly,0,1,1506.6228924834363,1493.60418288222,13.018709601216415,0.4,0.4,1.2,1.2,1.0,1.0,0.2,0.2,0.0,0.0,1.0,1.0,2.0,2.0,-1.0,-1.0,0.4,1.0,1.0,1,1,-1,3.0,3.0,18.243107965839517,19.526339809001872,-1.2832318431623548,25.34,24.54,0.2413,0.0,0.2413,1,0,-1
1990-02-18,Egypt,South Korea,Friendly,0,1,1499.7687432252333,1500.1849420384035,-0.4161988131702401,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,3.0,19.67274519997326,19.573164869541316,0.09958033043194447,24.53,23.7,0.0,0.0,0.0,0,0,0
1990-02-20,Colombia,Russia,Marlboro Cup,1,0,1492.0,1500.0,-8.0,0.0,0.0,0.5,0.5,1.5,1.5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,30.0,19.750425867117585,19.69986278367614,0.05056308344144611,25.0,26.61,0.0,0.0,0.0,0,0,0
